Auction Id,Bidder Id,Item No,Item Type,Location,Timestamp In,Timestamp Out,,,
11523,N/A,10036,Standard,A1A,10/29/21 10:05 AM,11/03/21 04:25 PM,,,
11523,N/A,10037,Standard,A2A,10/29/21 10:05 AM,,,,
11523,N/A,10038,Standard,A3A,10/29/21 10:05 AM,,,,
11523,N/A,10039,Standard,A4A,10/29/21 10:05 AM,,,,
11523,N/A,10041,Standard,A5A,10/29/21 10:05 AM,,,,
11523,N/A,10042,Standard,A6A,10/29/21 10:05 AM,,,,
11523,N/A,10043,Standard,A7A,10/29/21 10:05 AM,,,,
11523,N/A,10044,Standard,A8A,10/29/21 10:05 AM,,,,
11523,N/A,10045,Standard,A9A,10/29/21 10:05 AM,,,,
11523,N/A,10046,Standard,A10A,10/29/21 10:05 AM,,,,
11523,N/A,10047,Standard,A1B,10/29/21 10:05 AM,,,,
11523,N/A,10048,Standard,A2B,10/29/21 10:05 AM,,,,
11523,N/A,10049,Standard,A3B,10/29/21 10:05 AM,,,,
11523,N/A,10035,Standard,A4B,10/29/21 10:10 AM,,,,
11523,N/A,10034,Standard,A5B,10/29/21 10:10 AM,,,,
11523,N/A,10033,Standard,A6B,10/29/21 10:10 AM,,,,
11523,N/A,10032,Standard,A7B,10/29/21 10:10 AM,,,,
11523,N/A,10031,Standard,A8B,10/29/21 10:10 AM,,,,
11523,N/A,10028,Standard,A9B,10/29/21 10:10 AM,,,,
11523,N/A,10029,Standard,A10B,10/29/21 10:10 AM,,,,
11523,N/A,10027,Standard,A1C,10/29/21 10:10 AM,,,,
11523,N/A,10026,Standard,A2C,10/29/21 10:10 AM,,,,
11523,N/A,10025,Standard,A3C,10/29/21 10:10 AM,,,,
11523,N/A,10024,Standard,A4C,10/29/21 10:10 AM,,,,
11523,N/A,10021,Standard,A5C,10/29/21 10:10 AM,,,,
11523,N/A,10022,Standard,A6C,10/29/21 10:10 AM,,,,
11523,N/A,10020,Standard,A7C,10/29/21 10:10 AM,,,,
11523,N/A,10017,Standard,A8C,10/29/21 10:10 AM,,,,
11523,N/A,10018,Standard,A9C,10/29/21 10:10 AM,,,,
11523,N/A,10019,Standard,A10C,10/29/21 10:10 AM,,,,
11523,N/A,10016,Standard,A1D,10/29/21 10:10 AM,,,,
11523,N/A,10015,Standard,A2D,10/29/21 10:10 AM,,,,
11523,N/A,10014,Standard,A3D,10/29/21 10:10 AM,,,,
11523,N/A,10013,Standard,A4D,10/29/21 10:10 AM,,,,
